2024-03-22 14:37:33 - PHP Notice:  Indirect modification of overloaded property ControllerExtensionModuleEntitycrud::$error has no effect in D:\xampp\htdocs\vaza\upload\admin\controller\extension\module\entitycrud.php on line 276
2024-03-22 14:37:33 - PHP Warning:  Undefined array key "name" in D:\xampp\htdocs\vaza\upload\admin\model\extension\module\entity.php on line 8
2024-03-22 14:37:33 - PHP Warning:  Undefined array key "description" in D:\xampp\htdocs\vaza\upload\admin\model\extension\module\entity.php on line 8
2024-03-22 14:37:59 - PHP Warning:  Undefined array key "name" in D:\xampp\htdocs\vaza\upload\admin\controller\extension\module\entitycrud.php on line 275
2024-03-22 14:37:59 - PHP Unknown:  mb_strlen(): Passing null to parameter #1 ($string) of type string is deprecated in D:\xampp\htdocs\vaza\upload\system\helper\utf8.php on line 6
2024-03-22 14:37:59 - PHP Notice:  Indirect modification of overloaded property ControllerExtensionModuleEntitycrud::$error has no effect in D:\xampp\htdocs\vaza\upload\admin\controller\extension\module\entitycrud.php on line 276
2024-03-22 14:37:59 - PHP Warning:  Undefined array key "name" in D:\xampp\htdocs\vaza\upload\admin\model\extension\module\entity.php on line 8
2024-03-22 14:37:59 - PHP Warning:  Undefined array key "description" in D:\xampp\htdocs\vaza\upload\admin\model\extension\module\entity.php on line 8
2024-03-22 14:38:29 - PHP Warning:  Undefined array key "name" in D:\xampp\htdocs\vaza\upload\admin\controller\extension\module\entitycrud.php on line 276
2024-03-22 14:38:29 - PHP Unknown:  mb_strlen(): Passing null to parameter #1 ($string) of type string is deprecated in D:\xampp\htdocs\vaza\upload\system\helper\utf8.php on line 6
2024-03-22 14:38:29 - PHP Notice:  Indirect modification of overloaded property ControllerExtensionModuleEntitycrud::$error has no effect in D:\xampp\htdocs\vaza\upload\admin\controller\extension\module\entitycrud.php on line 277
2024-03-22 14:38:29 - PHP Warning:  Undefined array key "name" in D:\xampp\htdocs\vaza\upload\admin\model\extension\module\entity.php on line 8
2024-03-22 14:38:29 - PHP Warning:  Undefined array key "description" in D:\xampp\htdocs\vaza\upload\admin\model\extension\module\entity.php on line 8
2024-03-22 14:39:19 - PHP Warning:  Undefined array key "name" in D:\xampp\htdocs\vaza\upload\admin\controller\extension\module\entitycrud.php on line 278
2024-03-22 14:39:19 - PHP Unknown:  mb_strlen(): Passing null to parameter #1 ($string) of type string is deprecated in D:\xampp\htdocs\vaza\upload\system\helper\utf8.php on line 6
2024-03-22 14:39:19 - PHP Notice:  Indirect modification of overloaded property ControllerExtensionModuleEntitycrud::$error has no effect in D:\xampp\htdocs\vaza\upload\admin\controller\extension\module\entitycrud.php on line 279
2024-03-22 14:39:19 - PHP Warning:  Undefined array key "name" in D:\xampp\htdocs\vaza\upload\admin\model\extension\module\entity.php on line 8
2024-03-22 14:39:19 - PHP Warning:  Undefined array key "description" in D:\xampp\htdocs\vaza\upload\admin\model\extension\module\entity.php on line 8
2024-03-22 14:39:38 - PHP Warning:  Undefined array key "name" in D:\xampp\htdocs\vaza\upload\admin\controller\extension\module\entitycrud.php on line 278
2024-03-22 14:39:38 - PHP Unknown:  mb_strlen(): Passing null to parameter #1 ($string) of type string is deprecated in D:\xampp\htdocs\vaza\upload\system\helper\utf8.php on line 6
2024-03-22 14:39:38 - PHP Notice:  Indirect modification of overloaded property ControllerExtensionModuleEntitycrud::$error has no effect in D:\xampp\htdocs\vaza\upload\admin\controller\extension\module\entitycrud.php on line 279
2024-03-22 14:39:38 - PHP Warning:  Undefined array key "name" in D:\xampp\htdocs\vaza\upload\admin\model\extension\module\entity.php on line 8
2024-03-22 14:39:38 - PHP Warning:  Undefined array key "description" in D:\xampp\htdocs\vaza\upload\admin\model\extension\module\entity.php on line 8
2024-03-22 14:40:59 - PHP Warning:  Undefined array key "name" in D:\xampp\htdocs\vaza\upload\admin\controller\extension\module\entitycrud.php on line 277
2024-03-22 14:40:59 - PHP Unknown:  mb_strlen(): Passing null to parameter #1 ($string) of type string is deprecated in D:\xampp\htdocs\vaza\upload\system\helper\utf8.php on line 6
2024-03-22 14:40:59 - PHP Notice:  Indirect modification of overloaded property ControllerExtensionModuleEntitycrud::$error has no effect in D:\xampp\htdocs\vaza\upload\admin\controller\extension\module\entitycrud.php on line 278
2024-03-22 14:40:59 - PHP Warning:  Undefined array key "name" in D:\xampp\htdocs\vaza\upload\admin\model\extension\module\entity.php on line 8
2024-03-22 14:40:59 - PHP Warning:  Undefined array key "description" in D:\xampp\htdocs\vaza\upload\admin\model\extension\module\entity.php on line 8
2024-03-22 14:41:01 - PHP Warning:  Undefined array key "name" in D:\xampp\htdocs\vaza\upload\admin\controller\extension\module\entitycrud.php on line 277
2024-03-22 14:41:01 - PHP Unknown:  mb_strlen(): Passing null to parameter #1 ($string) of type string is deprecated in D:\xampp\htdocs\vaza\upload\system\helper\utf8.php on line 6
2024-03-22 14:41:01 - PHP Notice:  Indirect modification of overloaded property ControllerExtensionModuleEntitycrud::$error has no effect in D:\xampp\htdocs\vaza\upload\admin\controller\extension\module\entitycrud.php on line 278
2024-03-22 14:41:01 - PHP Warning:  Undefined array key "name" in D:\xampp\htdocs\vaza\upload\admin\model\extension\module\entity.php on line 8
2024-03-22 14:41:01 - PHP Warning:  Undefined array key "description" in D:\xampp\htdocs\vaza\upload\admin\model\extension\module\entity.php on line 8
2024-03-22 14:41:59 - PHP Warning:  Undefined array key "name" in D:\xampp\htdocs\vaza\upload\admin\controller\extension\module\entitycrud.php on line 278
2024-03-22 14:41:59 - PHP Unknown:  mb_strlen(): Passing null to parameter #1 ($string) of type string is deprecated in D:\xampp\htdocs\vaza\upload\system\helper\utf8.php on line 6
2024-03-22 14:41:59 - PHP Notice:  Indirect modification of overloaded property ControllerExtensionModuleEntitycrud::$error has no effect in D:\xampp\htdocs\vaza\upload\admin\controller\extension\module\entitycrud.php on line 279
2024-03-22 14:41:59 - PHP Warning:  Undefined array key "name" in D:\xampp\htdocs\vaza\upload\admin\controller\extension\module\entitycrud.php on line 22
2024-03-22 14:41:59 - PHP Warning:  Undefined array key "name" in D:\xampp\htdocs\vaza\upload\admin\model\extension\module\entity.php on line 8
2024-03-22 14:41:59 - PHP Warning:  Undefined array key "description" in D:\xampp\htdocs\vaza\upload\admin\model\extension\module\entity.php on line 8
2024-03-22 14:42:02 - PHP Warning:  Undefined array key "name" in D:\xampp\htdocs\vaza\upload\admin\controller\extension\module\entitycrud.php on line 278
2024-03-22 14:42:02 - PHP Unknown:  mb_strlen(): Passing null to parameter #1 ($string) of type string is deprecated in D:\xampp\htdocs\vaza\upload\system\helper\utf8.php on line 6
2024-03-22 14:42:02 - PHP Notice:  Indirect modification of overloaded property ControllerExtensionModuleEntitycrud::$error has no effect in D:\xampp\htdocs\vaza\upload\admin\controller\extension\module\entitycrud.php on line 279
2024-03-22 14:42:02 - PHP Warning:  Undefined array key "name" in D:\xampp\htdocs\vaza\upload\admin\controller\extension\module\entitycrud.php on line 22
2024-03-22 14:42:02 - PHP Warning:  Undefined array key "name" in D:\xampp\htdocs\vaza\upload\admin\model\extension\module\entity.php on line 8
2024-03-22 14:42:02 - PHP Warning:  Undefined array key "description" in D:\xampp\htdocs\vaza\upload\admin\model\extension\module\entity.php on line 8
2024-03-22 14:42:09 - PHP Warning:  Undefined array key "name" in D:\xampp\htdocs\vaza\upload\admin\controller\extension\module\entitycrud.php on line 278
2024-03-22 14:42:09 - PHP Unknown:  mb_strlen(): Passing null to parameter #1 ($string) of type string is deprecated in D:\xampp\htdocs\vaza\upload\system\helper\utf8.php on line 6
2024-03-22 14:42:09 - PHP Notice:  Indirect modification of overloaded property ControllerExtensionModuleEntitycrud::$error has no effect in D:\xampp\htdocs\vaza\upload\admin\controller\extension\module\entitycrud.php on line 279
2024-03-22 14:42:09 - PHP Warning:  Undefined array key "name" in D:\xampp\htdocs\vaza\upload\admin\controller\extension\module\entitycrud.php on line 22
2024-03-22 14:42:09 - PHP Warning:  Undefined array key "name" in D:\xampp\htdocs\vaza\upload\admin\model\extension\module\entity.php on line 8
2024-03-22 14:42:09 - PHP Warning:  Undefined array key "description" in D:\xampp\htdocs\vaza\upload\admin\model\extension\module\entity.php on line 8
2024-03-22 14:43:43 - PHP Warning:  Undefined array key "name" in D:\xampp\htdocs\vaza\upload\admin\controller\extension\module\entitycrud.php on line 278
2024-03-22 14:43:43 - PHP Warning:  foreach() argument must be of type array|object, null given in D:\xampp\htdocs\vaza\upload\admin\controller\extension\module\entitycrud.php on line 278
2024-03-22 14:43:43 - PHP Warning:  Undefined array key "name" in D:\xampp\htdocs\vaza\upload\admin\model\extension\module\entity.php on line 8
2024-03-22 14:43:43 - PHP Warning:  Undefined array key "description" in D:\xampp\htdocs\vaza\upload\admin\model\extension\module\entity.php on line 8
2024-03-22 14:43:47 - PHP Warning:  Undefined array key "name" in D:\xampp\htdocs\vaza\upload\admin\controller\extension\module\entitycrud.php on line 278
2024-03-22 14:43:47 - PHP Warning:  foreach() argument must be of type array|object, null given in D:\xampp\htdocs\vaza\upload\admin\controller\extension\module\entitycrud.php on line 278
2024-03-22 14:43:47 - PHP Warning:  Undefined array key "name" in D:\xampp\htdocs\vaza\upload\admin\model\extension\module\entity.php on line 8
2024-03-22 14:43:47 - PHP Warning:  Undefined array key "description" in D:\xampp\htdocs\vaza\upload\admin\model\extension\module\entity.php on line 8
2024-03-22 14:44:37 - PHP Warning:  Undefined array key "name" in D:\xampp\htdocs\vaza\upload\admin\controller\extension\module\entitycrud.php on line 278
2024-03-22 14:44:37 - PHP Warning:  foreach() argument must be of type array|object, null given in D:\xampp\htdocs\vaza\upload\admin\controller\extension\module\entitycrud.php on line 278
2024-03-22 14:44:37 - PHP Warning:  Undefined array key "name" in D:\xampp\htdocs\vaza\upload\admin\model\extension\module\entity.php on line 8
2024-03-22 14:44:37 - PHP Warning:  Undefined array key "description" in D:\xampp\htdocs\vaza\upload\admin\model\extension\module\entity.php on line 8
2024-03-22 14:50:22 - PHP Warning:  Undefined array key "entity" in D:\xampp\htdocs\vaza\upload\admin\controller\extension\module\entitycrud.php on line 278
2024-03-22 14:50:22 - PHP Warning:  foreach() argument must be of type array|object, null given in D:\xampp\htdocs\vaza\upload\admin\controller\extension\module\entitycrud.php on line 278
2024-03-22 14:50:22 - PHP Warning:  Undefined array key "name" in D:\xampp\htdocs\vaza\upload\admin\model\extension\module\entity.php on line 8
2024-03-22 14:50:22 - PHP Warning:  Undefined array key "description" in D:\xampp\htdocs\vaza\upload\admin\model\extension\module\entity.php on line 8
2024-03-22 15:06:07 - PHP Warning:  Undefined array key "entity" in D:\xampp\htdocs\vaza\upload\admin\controller\extension\module\entitycrud.php on line 240
2024-03-22 15:06:09 - PHP Warning:  Undefined array key "entity" in D:\xampp\htdocs\vaza\upload\admin\controller\extension\module\entitycrud.php on line 240
2024-03-22 15:06:48 - PHP Warning:  Undefined array key "entity" in D:\xampp\htdocs\vaza\upload\admin\controller\extension\module\entitycrud.php on line 241
2024-03-22 15:06:48 - PHP Warning:  Undefined array key "entity" in D:\xampp\htdocs\vaza\upload\admin\controller\extension\module\entitycrud.php on line 241
2024-03-22 15:06:49 - PHP Warning:  Undefined array key "entity" in D:\xampp\htdocs\vaza\upload\admin\controller\extension\module\entitycrud.php on line 241
2024-03-22 15:06:53 - PHP Warning:  Undefined array key "entity" in D:\xampp\htdocs\vaza\upload\admin\controller\extension\module\entitycrud.php on line 282
2024-03-22 15:06:53 - PHP Warning:  foreach() argument must be of type array|object, null given in D:\xampp\htdocs\vaza\upload\admin\controller\extension\module\entitycrud.php on line 282
2024-03-22 15:06:53 - PHP Warning:  Undefined array key "name" in D:\xampp\htdocs\vaza\upload\admin\model\extension\module\entity.php on line 8
2024-03-22 15:06:53 - PHP Warning:  Undefined array key "description" in D:\xampp\htdocs\vaza\upload\admin\model\extension\module\entity.php on line 8
2024-03-22 15:07:15 - PHP Warning:  Undefined array key "name" in D:\xampp\htdocs\vaza\upload\admin\controller\extension\module\entitycrud.php on line 241
2024-03-22 15:07:16 - PHP Warning:  Undefined array key "name" in D:\xampp\htdocs\vaza\upload\admin\controller\extension\module\entitycrud.php on line 241
2024-03-22 15:07:16 - PHP Warning:  Undefined array key "name" in D:\xampp\htdocs\vaza\upload\admin\controller\extension\module\entitycrud.php on line 241
2024-03-22 15:07:19 - PHP Warning:  Undefined array key "entity" in D:\xampp\htdocs\vaza\upload\admin\controller\extension\module\entitycrud.php on line 282
2024-03-22 15:07:19 - PHP Warning:  foreach() argument must be of type array|object, null given in D:\xampp\htdocs\vaza\upload\admin\controller\extension\module\entitycrud.php on line 282
2024-03-22 15:07:19 - PHP Warning:  Undefined array key "name" in D:\xampp\htdocs\vaza\upload\admin\model\extension\module\entity.php on line 8
2024-03-22 15:07:19 - PHP Warning:  Undefined array key "description" in D:\xampp\htdocs\vaza\upload\admin\model\extension\module\entity.php on line 8
2024-03-22 15:08:20 - PHP Warning:  Undefined array key "name" in D:\xampp\htdocs\vaza\upload\admin\controller\extension\module\entitycrud.php on line 240
2024-03-22 15:11:24 - PHP Warning:  Undefined array key "name" in D:\xampp\htdocs\vaza\upload\admin\controller\extension\module\entitycrud.php on line 280
2024-03-22 15:11:24 - PHP Unknown:  mb_strlen(): Passing null to parameter #1 ($string) of type string is deprecated in D:\xampp\htdocs\vaza\upload\system\helper\utf8.php on line 6
2024-03-22 15:11:24 - PHP Notice:  Indirect modification of overloaded property ControllerExtensionModuleEntitycrud::$error has no effect in D:\xampp\htdocs\vaza\upload\admin\controller\extension\module\entitycrud.php on line 281
2024-03-22 15:11:24 - PHP Warning:  Undefined array key "name" in D:\xampp\htdocs\vaza\upload\admin\model\extension\module\entity.php on line 8
2024-03-22 15:11:24 - PHP Warning:  Undefined array key "description" in D:\xampp\htdocs\vaza\upload\admin\model\extension\module\entity.php on line 8
2024-03-22 15:11:54 - PHP Warning:  Undefined array key "name" in D:\xampp\htdocs\vaza\upload\admin\model\extension\module\entity.php on line 8
2024-03-22 15:11:54 - PHP Warning:  Undefined array key "description" in D:\xampp\htdocs\vaza\upload\admin\model\extension\module\entity.php on line 8
2024-03-22 15:14:57 - PHP Warning:  Undefined array key "name" in D:\xampp\htdocs\vaza\upload\admin\model\extension\module\entity.php on line 8
2024-03-22 15:14:57 - PHP Warning:  Undefined array key "description" in D:\xampp\htdocs\vaza\upload\admin\model\extension\module\entity.php on line 8
2024-03-22 15:24:11 - PHP Warning:  Undefined array key "name" in D:\xampp\htdocs\vaza\upload\admin\controller\extension\module\entitycrud.php on line 240
2024-03-22 15:24:12 - PHP Warning:  Undefined array key "name" in D:\xampp\htdocs\vaza\upload\admin\controller\extension\module\entitycrud.php on line 240
2024-03-22 15:24:13 - PHP Warning:  Undefined array key "name" in D:\xampp\htdocs\vaza\upload\admin\controller\extension\module\entitycrud.php on line 240
2024-03-22 15:24:17 - PHP Warning:  Undefined array key "name" in D:\xampp\htdocs\vaza\upload\admin\controller\extension\module\entitycrud.php on line 240
2024-03-22 15:24:31 - PHP Warning:  Undefined array key "name" in D:\xampp\htdocs\vaza\upload\admin\controller\extension\module\entitycrud.php on line 240
2024-03-22 15:29:30 - PHP Notice:  Indirect modification of overloaded property ControllerExtensionModuleEntitycrud::$error has no effect in D:\xampp\htdocs\vaza\upload\admin\controller\extension\module\entitycrud.php on line 279
2024-03-22 15:29:56 - PHP Notice:  Indirect modification of overloaded property ControllerExtensionModuleEntitycrud::$error has no effect in D:\xampp\htdocs\vaza\upload\admin\controller\extension\module\entitycrud.php on line 279
